ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11265589,JB197488,03/23/2018 08:44:00 PM,024XX S KOSTNER AVE,0142,HOMICIDE,RECKLESS HOMICIDE,STREET,true,false,1013,010,22,29,01B,1147442,1887418,2018,05/04/2018 03:51:04 PM,41.847032912,-87.73438296,"(41.847032912, -87.73438296)"
23829,JB157132,02/19/2018 02:10:00 AM,015XX E 75TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,0411,004,5,43,01A,1187951,1855567,2018,02/26/2018 03:59:32 PM,41.758760072,-87.586732383,"(41.758760072, -87.586732383)"
23830,JB157170,02/19/2018 05:09:00 AM,022XX S KEELER AVE,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,true,true,1013,010,22,29,01A,1148744,1888749,2018,06/09/2018 03:47:56 PM,41.850660328,-87.729570246,"(41.850660328, -87.729570246)"
23831,JB156894,02/19/2018 12:35:00 PM,040XX E 134TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,0433,004,10,55,01A,1204544,1816604,2018,02/26/2018 03:59:32 PM,41.651431329,-87.527258234,"(41.651431329, -87.527258234)"
23832,JB157908,02/19/2018 05:24:00 PM,076XX S CHAMPLAIN AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0624,006,6,69,01A,1181886,1854568,2018,08/29/2018 03:59:35 PM,41.756161003,-87.608990792,"(41.756161003, -87.608990792)"
23899,JB232062,04/21/2018 07:05:00 AM,066XX S EVANS AVE,0110,HOMICIDE,FIRST DEGREE MURDER,VACANT LOT,false,false,0321,003,20,42,01A,1182362,1861087,2018,04/28/2018 04:03:06 PM,41.774038781,-87.607044646,"(41.774038781, -87.607044646)"
23901,JB232515,04/21/2018 03:05:00 PM,002XX S LOTUS AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1522,015,29,25,01A,1139923,1898308,2018,04/28/2018 04:03:06 PM,41.877057159,-87.761711879,"(41.877057159, -87.761711879)"
23902,JB232992,04/21/2018 11:40:00 PM,094XX S WABASH AVE,0110,HOMICIDE,FIRST DEGREE MURDER,PORCH,false,false,0634,006,6,49,01A,1178376,1842310,2018,04/28/2018 04:03:06 PM,41.72260394,-87.622225296,"(41.72260394, -87.622225296)"
23900,JB232375,04/21/2018 12:00:00 PM,079XX S CRANDON AVE,0110,HOMICIDE,FIRST DEGREE MURDER,PORCH,true,false,0414,004,7,46,01A,1192907,1852845,2018,09/26/2018 04:12:46 PM,41.751171219,-87.568657957,"(41.751171219, -87.568657957)"
23903,JB233916,04/23/2018 04:46:00 AM,013XX N KILDARE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,2534,025,37,23,01A,1147461,1908750,2018,04/30/2018 04:05:08 PM,41.905570057,-87.733766341,"(41.905570057, -87.733766341)"
23904,JB235209,04/23/2018 06:59:00 PM,002XX N LOCKWOOD AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1523,015,28,25,01A,1141004,1901125,2018,04/30/2018 04:05:08 PM,41.884767539,-87.757673329,"(41.884767539, -87.757673329)"
23905,JB235469,04/24/2018 12:51:00 AM,044XX W 55TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0815,008,23,62,01A,1147811,1867772,2018,05/01/2018 03:58:00 PM,41.793114392,-87.73353203,"(41.793114392, -87.73353203)"
23906,JB236588,04/24/2018 08:07:00 PM,121XX S STEWART AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0523,005,34,53,01A,1175816,1824336,2018,05/01/2018 03:58:00 PM,41.673338288,-87.632138209,"(41.673338288, -87.632138209)"
23908,JB236716,04/24/2018 09:23:00 PM,038XX W ROOSEVELT RD,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1011,010,24,29,01A,1150993,1894437,2018,05/01/2018 03:58:00 PM,41.866225191,-87.721167065,"(41.866225191, -87.721167065)"
23907,JB236711,04/24/2018 09:09:00 PM,051XX W CHICAGO AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1531,015,37,25,01A,1141760,1904840,2018,07/31/2018 03:48:36 PM,41.894947998,-87.754805169,"(41.894947998, -87.754805169)"
23909,JB237525,04/25/2018 02:43:00 PM,048XX W MONROE ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1533,015,28,25,01A,1144189,1899224,2018,05/02/2018 03:52:47 PM,41.879491742,-87.746025164,"(41.879491742, -87.746025164)"
23910,JB237945,04/25/2018 07:45:00 PM,074XX S PHILLIPS AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0334,003,7,43,01A,1193940,1855907,2018,05/02/2018 03:52:47 PM,41.759548331,-87.56477236,"(41.759548331, -87.56477236)"
